Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,29.728184,30.143063,29.327612,29.771103,26.951061,23040437
2011-01-08,29.620888,31.051502,29.542204,30.944206,28.013044,17917887
2011-01-15,31.022890,31.795422,29.656652,30.121601,27.268366,21525425
2011-01-22,30.171675,31.130186,29.241774,29.313305,26.536633,22294185
2011-01-29,29.477825,30.851215,28.776825,30.751074,27.838211,27638039
2011-02-05,31.080114,32.296139,30.450644,32.203148,29.152737,27674528
2011-02-12,32.188843,32.489269,30.500715,31.416309,28.440430,30726921
2011-02-19,30.951359,31.294706,28.569386,30.300428,27.430250,27919179
2011-02-26,30.350500,33.483547,28.869814,33.440628,30.273008,39490144
2011-03-05,33.090130,33.476395,31.402002,32.432045,29.359953,33667475
2011-03-12,32.253220,32.482117,29.942776,30.715307,27.805830,36140258
2011-03-19,31.130186,31.831186,30.579399,31.502146,28.518137,19782959
2011-03-26,31.645206,32.532188,31.123034,32.288982,29.230433,17055181
2011-04-02,32.238914,32.689556,31.659513,32.110157,29.068560,16393646
2011-04-09,32.045780,34.320457,31.673820,33.977112,30.758663,26560462
2011-04-16,33.512161,35.336197,32.417740,35.293278,31.950163,21878141
2011-04-23,35.114449,36.251789,34.313305,35.701000,32.319256,21648588
2011-04-30,35.944206,36.309013,35.064377,35.572247,32.202694,20481399
2011-05-07,35.658085,39.577969,35.329041,37.610874,34.048218,32048170
2011-05-14,37.331902,37.911301,36.072960,36.266094,32.830822,31023578
2011-05-21,35.629471,35.629471,34.427753,35.479256,32.118530,23555322
2011-05-28,35.543633,35.786839,33.497852,33.927040,30.713337,18206294
2011-06-04,33.798283,35.143063,33.612305,34.470673,31.205471,25308414
2011-06-11,34.520744,35.686695,33.175964,33.927040,30.713337,27469581
2011-06-18,33.683834,35.994278,33.490700,34.685265,31.399736,22025909
2011-06-25,34.585121,37.288982,34.227467,37.195995,33.672642,22602584
2011-07-02,37.145924,37.639484,34.878399,35.929901,32.526485,20616165
2011-07-09,35.371960,35.693848,33.311874,33.676682,30.486691,27830126
2011-07-16,33.412018,33.834049,32.052933,33.540771,30.363657,28416447
2011-07-23,33.040058,33.419170,29.535049,30.157368,27.300743,34733170
2011-07-30,30.486408,30.600859,25.300428,26.173103,23.693876,43649196
2011-08-06,25.357655,26.423462,22.732475,25.901287,23.447815,63347854
2011-08-13,26.266094,27.274677,22.195993,22.231760,20.125879,45195662
2011-08-20,22.882690,25.000000,21.616594,24.942776,22.580093,49134527
2011-08-27,25.350500,27.224607,24.313305,24.606581,22.275753,38520072
2011-09-03,23.454935,25.679543,22.997139,23.862661,21.602289,34378497
2011-09-10,23.376251,26.759657,22.947067,26.008583,23.544945,38491413
2011-09-17,25.329041,26.101574,21.981401,22.660944,20.514406,40922675
2011-09-24,22.918455,24.721029,22.210300,22.353361,20.235960,33351248
2011-10-01,22.103004,24.005722,20.507868,22.439199,20.313663,39987274
2011-10-08,22.989986,24.735336,22.811159,23.848354,21.589344,41433644
2011-10-15,23.619455,25.350500,22.989986,25.228897,22.839115,33096533
2011-10-22,25.457796,29.363377,24.914164,29.248926,26.478346,45921643
2011-10-29,28.505007,28.590843,24.792561,26.402002,23.901096,37632763
2011-11-05,26.323318,27.746780,25.529327,26.795422,24.257250,30534417
2011-11-12,26.559372,28.175966,26.187410,26.330473,23.836344,32692369
2011-11-19,25.615166,25.836910,23.762518,24.198856,21.906645,18454857
2011-11-26,25.128756,27.596567,24.835480,26.294706,23.803970,22254204
2011-12-03,26.845493,27.095852,24.549356,25.271816,22.877968,21863462
2011-12-10,24.899857,24.978540,23.254648,23.934193,21.667048,23157031
2011-12-17,24.055794,25.307583,23.705294,25.293276,22.897392,18441856
2011-12-24,25.171675,25.443491,24.334764,24.985695,22.618956,9121530
2011-12-31,25.636623,26.866953,25.457796,26.752504,24.218397,20362290
2012-01-07,26.909870,28.311874,26.802574,27.939915,25.293333,21853536
2012-01-14,28.440628,30.264664,28.397711,29.327612,26.549582,20029285
2012-01-21,29.241774,32.081547,28.991417,30.529327,27.637461,30371691
2012-01-28,29.992847,32.403435,29.842632,32.389126,29.321102,22573507
2012-02-04,32.002861,32.439198,31.123034,31.573677,28.582891,17598723
2012-02-11,31.967096,31.974249,29.871244,30.858370,27.935335,27530674
2012-02-18,30.951359,31.466381,30.286123,30.772532,27.857641,14882688
2012-02-25,30.550787,31.759657,30.364807,31.273247,28.310915,16316198
2012-03-03,31.187410,32.238914,29.964235,31.866953,28.848389,24754666
2012-03-10,31.788269,32.904148,31.030043,32.632332,29.541264,16951729
2012-03-17,32.510731,32.689556,30.865522,31.688126,28.686497,17002196
2012-03-24,32.095852,33.104435,31.437769,31.838341,28.822485,20929877
2012-03-31,31.838341,32.296139,31.008583,32.024319,29.056198,17290184
2012-04-07,31.566525,31.566525,30.007153,30.214592,27.414202,20167408
2012-04-14,30.464951,30.672388,29.728184,30.114449,27.323345,15337039
2012-04-21,29.585121,30.522175,28.004292,30.443491,27.621897,26421360
2012-04-28,30.407724,30.951359,29.299000,29.334764,26.615921,15037727
2012-05-05,29.091558,29.391989,28.183119,28.218884,25.603466,24372593
2012-05-12,27.804007,29.978540,27.496424,27.703863,25.136175,34402264
2012-05-19,27.775393,29.656652,27.753935,29.334764,26.615921,21112876
2012-05-26,29.663805,30.221745,27.224607,27.339056,24.805189,23460397
