Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,3.435000,3.460000,3.285000,3.432500,3.432500,6158400
2011-01-08,3.405000,3.902500,3.357500,3.847500,3.847500,15567200
2011-01-15,3.862500,4.015000,3.580000,3.600000,3.600000,10322000
2011-01-22,3.592500,3.735000,3.432500,3.525000,3.525000,7590400
2011-01-29,3.552500,3.635000,3.442500,3.580000,3.580000,6960800
2011-02-05,3.570000,3.737500,3.535000,3.687500,3.687500,5282400
2011-02-12,3.675000,3.745000,3.622500,3.705000,3.705000,4240800
2011-02-19,3.655000,3.697500,3.485000,3.682500,3.682500,3922000
2011-02-26,3.710000,3.817500,3.492500,3.782500,3.782500,7789600
2011-03-05,3.790000,3.790000,3.415000,3.467500,3.467500,7103600
2011-03-12,3.380000,3.470000,3.250000,3.337500,3.337500,7352800
2011-03-19,3.500000,3.720000,3.470000,3.660000,3.660000,7920800
2011-03-26,3.685000,4.067500,3.662500,4.067500,4.067500,8531600
2011-04-02,4.090000,4.212500,3.990000,4.052500,4.052500,7771200
2011-04-09,4.045000,4.125000,3.912500,4.002500,4.002500,6076000
2011-04-16,3.945000,4.192500,3.840000,4.097500,4.097500,6571200
2011-04-23,4.077500,4.210000,3.990000,4.162500,4.162500,5379200
2011-04-30,4.172500,4.227500,3.682500,3.752500,3.752500,18926000
2011-05-07,3.745000,3.925000,3.727500,3.850000,3.850000,8905200
2011-05-14,3.815000,3.892500,3.740000,3.850000,3.850000,6428400
2011-05-21,3.780000,3.850000,3.615000,3.825000,3.825000,6172800
2011-05-28,3.850000,3.947500,3.622500,3.647500,3.647500,9583200
2011-06-04,3.640000,3.667500,3.350000,3.375000,3.375000,6188800
2011-06-11,3.392500,3.412500,3.225000,3.350000,3.350000,12430800
2011-06-18,3.340000,3.770000,3.337500,3.650000,3.650000,12213200
2011-06-25,3.635000,3.737500,3.587500,3.652500,3.652500,11670400
2011-07-02,3.662500,3.897500,3.632500,3.867500,3.867500,6528800
2011-07-09,3.817500,3.942500,3.772500,3.915000,3.915000,10244800
2011-07-16,3.905000,3.912500,3.772500,3.857500,3.857500,11242000
2011-07-23,3.832500,3.880000,3.480000,3.545000,3.545000,10030400
2011-07-30,3.602500,3.635000,2.692500,2.810000,2.810000,23377200
2011-08-06,2.702500,2.885000,2.457500,2.785000,2.785000,16263600
2011-08-13,2.827500,2.922500,2.570000,2.710000,2.710000,11079600
2011-08-20,2.797500,2.955000,2.630000,2.917500,2.917500,8388400
2011-08-27,2.962500,3.100000,2.852500,2.880000,2.880000,7344000
2011-09-03,2.765000,3.080000,2.747500,2.910000,2.910000,6009600
2011-09-10,2.852500,3.200000,2.827500,3.197500,3.197500,8125600
2011-09-17,3.130000,3.422500,2.902500,2.972500,2.972500,13529600
2011-09-24,3.000000,3.260000,2.887500,3.000000,3.000000,9704400
2011-10-01,2.955000,3.107500,2.767500,2.775000,2.775000,11209200
2011-10-08,2.845000,2.947500,2.757500,2.807500,2.807500,7878800
2011-10-15,2.762500,2.897500,2.475000,2.565000,2.565000,11001200
2011-10-22,2.582500,2.762500,2.282500,2.510000,2.510000,21374800
2011-10-29,2.450000,2.525000,1.832500,1.907500,1.907500,36444000
2011-11-05,1.902500,1.930000,1.755000,1.835000,1.835000,16054800
2011-11-12,1.825000,1.837500,1.725000,1.775000,1.775000,14678800
2011-11-19,1.742500,1.757500,1.687500,1.732500,1.732500,8341200
2011-11-26,1.785000,2.085000,1.772500,2.060000,2.060000,15251600
2011-12-03,2.095000,2.140000,1.990000,2.077500,2.077500,9414400
2011-12-10,2.047500,2.162500,1.995000,2.070000,2.070000,11230000
2011-12-17,2.080000,2.225000,2.022500,2.145000,2.145000,10020400
2011-12-24,2.135000,2.392500,2.120000,2.327500,2.327500,6608000
2011-12-31,2.380000,2.405000,2.190000,2.207500,2.207500,9346000
2012-01-07,2.212500,2.577500,2.160000,2.502500,2.502500,13363200
2012-01-14,2.452500,2.730000,2.442500,2.680000,2.680000,10046800
2012-01-21,2.687500,2.807500,2.612500,2.762500,2.762500,11776400
2012-01-28,2.745000,2.970000,2.677500,2.925000,2.925000,9162400
2012-02-04,2.895000,2.955000,2.755000,2.780000,2.780000,6484000
2012-02-11,2.807500,2.975000,2.725000,2.900000,2.900000,6792000
2012-02-18,2.897500,2.937500,2.662500,2.700000,2.700000,8672000
2012-02-25,2.685000,2.800000,2.555000,2.592500,2.592500,8809200
2012-03-03,2.577500,2.630000,2.520000,2.555000,2.555000,7162800
2012-03-10,2.562500,2.745000,2.517500,2.707500,2.707500,7919600
2012-03-17,2.705000,2.750000,2.547500,2.587500,2.587500,4248800
2012-03-24,2.615000,2.747500,2.575000,2.607500,2.607500,6945600
2012-03-31,2.587500,2.710000,2.570000,2.612500,2.612500,9606400
2012-04-07,2.557500,2.585000,2.340000,2.377500,2.377500,8892400
2012-04-14,2.390000,2.455000,2.362500,2.400000,2.400000,8974400
2012-04-21,2.370000,2.510000,2.357500,2.492500,2.492500,9261200
2012-04-28,2.497500,2.550000,2.407500,2.505000,2.505000,12356800
2012-05-05,2.500000,2.642500,2.480000,2.590000,2.590000,6316400
2012-05-12,2.560000,2.707500,2.545000,2.602500,2.602500,10049200
2012-05-19,2.605000,2.705000,2.565000,2.697500,2.697500,8274400
2012-05-26,2.710000,2.840000,2.575000,2.692500,2.692500,10660400
2012-06-02,2.700000,2.912500,2.650000,2.905000,2.905000,9057600
2012-06-09,2.927500,3.195000,2.880000,3.172500,3.172500,11224000
2012-06-16,3.162500,3.300000,3.130000,3.257500,3.257500,14346000
2012-06-23,3.212500,3.255000,3.065000,3.240000,3.240000,8811600
2012-06-30,3.240000,3.280000,3.180000,3.197500,3.197500,5795600
2012-07-07,3.197500,3.302500,3.135000,3.242500,3.242500,14296400
2012-07-14,3.225000,3.280000,2.997500,3.002500,3.002500,10015600
2012-07-21,2.940000,3.005000,2.815000,2.917500,2.917500,8812000
2012-07-28,2.912500,2.945000,2.662500,2.925000,2.925000,9375200
2012-08-04,2.920000,3.137500,2.917500,3.125000,3.125000,10383600
2012-08-11,3.110000,3.247500,3.082500,3.245000,3.245000,5153600
2012-08-18,3.227500,3.262500,3.040000,3.130000,3.130000,7184400
2012-08-25,3.142500,3.325000,3.090000,3.325000,3.325000,6111600
2012-09-01,3.337500,3.615000,3.265000,3.475000,3.475000,8594800
2012-09-08,3.460000,3.582500,3.315000,3.375000,3.375000,10393200
2012-09-15,3.355000,3.735000,3.257500,3.725000,3.725000,9276000
2012-09-22,3.720000,3.770000,3.662500,3.757500,3.757500,7841200
2012-09-29,3.790000,3.870000,3.670000,3.690000,3.690000,5984400
2012-10-06,3.687500,3.772500,3.392500,3.400000,3.400000,7363200
2012-10-13,3.415000,3.572500,3.392500,3.420000,3.420000,4938400
2012-10-20,3.412500,3.425000,3.255000,3.342500,3.342500,3637600
2012-10-27,3.340000,3.375000,3.165000,3.227500,3.227500,5154000
2012-11-03,3.217500,3.335000,3.142500,3.192500,3.192500,6137200
2012-11-10,3.197500,3.302500,3.007500,3.150000,3.150000,9692800
2012-11-17,3.175000,3.227500,3.092500,3.095000,3.095000,10361200
2012-11-24,3.087500,3.275000,3.012500,3.270000,3.270000,15838400
2012-12-01,3.252500,3.555000,3.252500,3.410000,3.410000,13009600
2012-12-08,3.415000,3.620000,3.312500,3.315000,3.315000,7531600
2012-12-15,3.322500,3.425000,3.275000,3.332500,3.332500,11035200
2012-12-22,3.325000,3.382500,3.280000,3.305000,3.305000,3841600
2012-12-29,3.305000,3.555000,3.290000,3.542500,3.542500,6506800
2013-01-05,3.547500,3.745000,3.542500,3.705000,3.705000,7780000
2013-01-12,3.705000,3.725000,3.610000,3.695000,3.695000,5589600
2013-01-19,3.677500,3.887500,3.660000,3.875000,3.875000,7049600
2013-01-26,3.872500,3.902500,3.732500,3.877500,3.877500,6650800
2013-02-02,3.847500,3.887500,3.645000,3.697500,3.697500,5559600
2013-02-09,3.697500,3.707500,3.527500,3.602500,3.602500,7282400
2013-02-16,3.615000,3.935000,3.512500,3.932500,3.932500,7279600
2013-02-23,3.940000,3.992500,3.657500,3.802500,3.802500,9315600
2013-03-02,3.782500,3.987500,3.707500,3.987500,3.987500,5733200
2013-03-09,3.937500,4.290000,3.852500,4.082500,4.082500,12295200
2013-03-16,4.040000,4.167500,4.005000,4.157500,4.157500,6137200
2013-03-23,4.162500,4.280000,4.145000,4.180000,4.180000,4142800
2013-03-30,4.187500,4.405000,4.027500,4.105000,4.105000,8028000
2013-04-06,4.127500,4.197500,4.027500,4.065000,4.065000,4958800
2013-04-13,4.030000,4.105000,3.760000,3.875000,3.875000,6540800
2013-04-20,3.882500,3.910000,3.762500,3.887500,3.887500,7518000
2013-04-27,3.892500,4.670000,3.882500,4.650000,4.650000,20340400
2013-05-04,4.645000,5.017500,4.477500,4.950000,4.950000,15618400
2013-05-11,4.850000,5.297500,4.812500,5.295000,5.295000,13063200
2013-05-18,5.262500,5.422500,4.997500,5.075000,5.075000,13766400
2013-05-25,5.122500,5.325000,5.057500,5.207500,5.207500,5579600
2013-06-01,5.207500,5.620000,5.170000,5.600000,5.600000,12358800
2013-06-08,5.507500,5.660000,5.307500,5.537500,5.537500,9620800
2013-06-15,5.532500,5.742500,4.982500,5.235000,5.235000,15322000
2013-06-22,5.195000,5.712500,5.127500,5.612500,5.612500,12070000
2013-06-29,5.655000,5.775000,5.522500,5.720000,5.720000,6446400
2013-07-06,5.752500,6.002500,5.487500,5.942500,5.942500,11456400
2013-07-13,5.965000,6.090000,5.527500,5.617500,5.617500,11512800
2013-07-20,5.632500,5.872500,5.445000,5.655000,5.655000,9931600
2013-07-27,5.665000,5.825000,5.440000,5.655000,5.655000,9360400
2013-08-03,5.630000,6.990000,5.462500,6.772500,6.772500,19992800
2013-08-10,6.770000,6.947500,6.460000,6.530000,6.530000,12233600
2013-08-17,6.492500,6.927500,6.440000,6.807500,6.807500,8047200
2013-08-24,6.812500,7.042500,6.565000,6.762500,6.762500,11251600
2013-08-31,6.782500,6.860000,6.520000,6.667500,6.667500,5406000
2013-09-07,6.667500,7.120000,6.667500,6.835000,6.835000,8421600
2013-09-14,6.937500,7.125000,6.697500,7.032500,7.032500,9855600
2013-09-21,7.007500,7.310000,6.372500,6.807500,6.807500,22715200
2013-09-28,6.715000,7.292500,6.665000,7.010000,7.010000,10742000
2013-10-05,6.987500,7.077500,6.670000,6.862500,6.862500,7584800
2013-10-12,6.840000,7.795000,6.812500,7.720000,7.720000,11910800
2013-10-19,7.685000,7.752500,7.227500,7.447500,7.447500,7217200
2013-10-26,7.462500,7.922500,7.002500,7.100000,7.100000,11114000
2013-11-02,7.127500,8.467500,6.775000,8.262500,8.262500,22203200
2013-11-09,8.250000,8.597500,7.965000,8.140000,8.140000,15372800
2013-11-16,8.000000,8.235000,7.812500,8.102500,8.102500,11565200
2013-11-23,8.097500,8.437500,8.012500,8.272500,8.272500,5304000
2013-11-30,8.217500,8.992500,8.217500,8.662500,8.662500,14075200
2013-12-07,8.687500,8.770000,8.257500,8.625000,8.625000,12818000
2013-12-14,8.630000,8.725000,8.220000,8.592500,8.592500,12758800
2013-12-21,8.640000,8.847500,8.402500,8.765000,8.765000,6567200
2013-12-28,8.782500,8.982500,8.532500,8.700000,8.700000,7640000
2014-01-04,8.755000,9.315000,8.675000,9.262500,9.262500,13307600
2014-01-11,9.210000,9.532500,9.057500,9.340000,9.340000,15914400
2014-01-18,9.360000,9.550000,8.965000,9.170000,9.170000,7153200
2014-01-25,9.187500,10.130000,9.000000,10.115000,10.115000,16518400
2014-02-01,10.117500,10.540000,9.320000,9.427500,9.427500,17672400
2014-02-08,9.440000,10.897500,9.437500,10.855000,10.855000,15186000
2014-02-15,10.875000,11.935000,10.510000,10.777500,10.777500,22494400
2014-02-22,10.812500,11.775000,10.812500,11.275000,11.275000,21312800
2014-03-01,11.187500,12.457500,10.900000,11.855000,11.855000,18608800
2014-03-08,11.910000,11.910000,10.970000,11.175000,11.175000,22584400
2014-03-15,11.177500,11.962500,10.995000,11.122500,11.122500,15101600
2014-03-22,11.132500,11.237500,9.927500,10.010000,10.010000,22066000
2014-03-29,10.087500,10.615000,9.420000,9.497500,9.497500,18297600
2014-04-05,9.427500,9.870000,8.647500,8.905000,8.905000,28228000
2014-04-12,8.965000,9.247500,8.070000,9.145000,9.145000,16123600
2014-04-19,9.175000,9.250000,8.327500,8.345000,8.345000,14035600
2014-04-26,8.400000,8.497500,7.022500,7.962500,7.962500,28642800
2014-05-03,7.752500,7.980000,7.170000,7.880000,7.880000,23898400
2014-05-10,7.880000,8.187500,7.695000,8.105000,8.105000,18697200
2014-05-17,8.097500,8.352500,7.762500,8.295000,8.295000,16104400
2014-05-24,8.365000,8.745000,8.262500,8.440000,8.440000,11904400
2014-05-31,8.410000,9.182500,8.035000,9.180000,9.180000,14902000
2014-06-07,9.137500,9.380000,8.822500,9.000000,9.000000,12113600
2014-06-14,9.037500,10.265000,9.010000,10.250000,10.250000,17902400
2014-06-21,10.242500,10.397500,9.835000,9.912500,9.912500,14110000
2014-06-28,9.875000,10.127500,9.837500,9.957500,9.957500,12424000
2014-07-05,9.920000,9.920000,8.667500,9.152500,9.152500,13748400
2014-07-12,9.272500,9.357500,8.875000,9.180000,9.180000,11148400
2014-07-19,9.112500,9.822500,9.030000,9.762500,9.762500,11176400
2014-07-26,9.800000,10.235000,9.132500,9.307500,9.307500,15390000
2014-08-02,9.370000,11.107500,9.297500,11.062500,11.062500,22806800
2014-08-09,11.127500,11.235000,10.650000,10.905000,10.905000,12483200
2014-08-16,10.975000,11.362500,10.745000,11.020000,11.020000,12841600
2014-08-23,11.195000,11.592500,10.885000,11.050000,11.050000,11169200
2014-08-30,11.132500,11.235000,10.480000,10.712500,10.712500,10906800
2014-09-06,10.670000,11.017500,10.585000,10.627500,10.627500,12059200
2014-09-13,10.650000,10.655000,10.090000,10.445000,10.445000,12105600
2014-09-20,10.410000,10.412500,9.975000,10.250000,10.250000,10174000
2014-09-27,10.125000,10.732500,9.692500,10.647500,10.647500,11537600
2014-10-04,10.705000,10.747500,10.000000,10.125000,10.125000,9590400
2014-10-11,10.155000,10.605000,9.727500,10.165000,10.165000,11965200
2014-10-18,10.137500,11.145000,10.097500,10.827500,10.827500,11365600
2014-10-25,10.827500,11.560000,10.642500,11.237500,11.237500,13238400
2014-11-01,11.287500,13.020000,10.862500,12.732500,12.732500,21884000
2014-11-08,12.697500,13.625000,12.517500,13.182500,13.182500,14737200
2014-11-15,13.195000,13.270000,12.460000,12.592500,12.592500,11492400
2014-11-22,12.602500,13.060000,12.515000,12.865000,12.865000,9210800
2014-11-29,12.725000,13.925000,12.635000,13.827500,13.827500,13727600
2014-12-06,13.850000,14.580000,13.252500,13.415000,13.415000,14991600
2014-12-13,13.432500,14.300000,13.100000,14.137500,14.137500,11918000
2014-12-20,14.192500,14.225000,13.380000,13.787500,13.787500,6498000
2014-12-27,13.980000,14.170000,13.555000,13.627500,13.627500,5788000
2015-01-03,13.522500,14.732500,13.325000,14.547500,14.547500,13939600
2015-01-10,14.607500,15.712500,14.140000,14.742500,14.742500,13888000
