Market,continent,iso_alpha,STOCK EXCHANGE,Year,ESG GUIDANCE
China,Asia,CHN,Shenzhen Stock Exchange,2006,Social Responsibility Instructions to Listed Companies
China,Asia,CHN,Shenzhen Stock Exchange,2007,Social Responsibility Instructions to Listed Companies
China,Asia,CHN,Shenzhen Stock Exchange,2008,Social Responsibility Instructions to Listed Companies
China,Asia,CHN,Shenzhen Stock Exchange,2009,Social Responsibility Instructions to Listed Companies
China,Asia,CHN,Shenzhen Stock Exchange,2010,Social Responsibility Instructions to Listed Companies
China,Asia,CHN,Shenzhen Stock Exchange,2011,Social Responsibility Instructions to Listed Companies
China,Asia,CHN,Shenzhen Stock Exchange,2012,Social Responsibility Instructions to Listed Companies
China,Asia,CHN,Shenzhen Stock Exchange,2013,Social Responsibility Instructions to Listed Companies
China,Asia,CHN,Shenzhen Stock Exchange,2014,Social Responsibility Instructions to Listed Companies
China,Asia,CHN,Shenzhen Stock Exchange,2015,Social Responsibility Instructions to Listed Companies
China,Asia,CHN,Shenzhen Stock Exchange,2016,Social Responsibility Instructions to Listed Companies
China,Asia,CHN,Shenzhen Stock Exchange,2017,Social Responsibility Instructions to Listed Companies
China,Asia,CHN,Shenzhen Stock Exchange,2018,Social Responsibility Instructions to Listed Companies
China,Asia,CHN,Shenzhen Stock Exchange,2019,Social Responsibility Instructions to Listed Companies
China,Asia,CHN,Shenzhen Stock Exchange,2020,Social Responsibility Instructions to Listed Companies
China,Asia,CHN,Shenzhen Stock Exchange,2021,Social Responsibility Instructions to Listed Companies
China,Asia,CHN,Shenzhen Stock Exchange,2022,Social Responsibility Instructions to Listed Companies
China,Asia,CHN,Shanghai Stock Exchange,2008,Guidelines for Environmental Information Disclosure of Listed Companies in Shanghai Stock Exchange (in Chinese)
China,Asia,CHN,Shanghai Stock Exchange,2009,Guidelines for Environmental Information Disclosure of Listed Companies in Shanghai Stock Exchange (in Chinese)
China,Asia,CHN,Shanghai Stock Exchange,2010,Guidelines for Environmental Information Disclosure of Listed Companies in Shanghai Stock Exchange (in Chinese)
China,Asia,CHN,Shanghai Stock Exchange,2011,Guidelines for Environmental Information Disclosure of Listed Companies in Shanghai Stock Exchange (in Chinese)
China,Asia,CHN,Shanghai Stock Exchange,2012,Guidelines for Environmental Information Disclosure of Listed Companies in Shanghai Stock Exchange (in Chinese)
China,Asia,CHN,Shanghai Stock Exchange,2013,Guidelines for Environmental Information Disclosure of Listed Companies in Shanghai Stock Exchange (in Chinese)
China,Asia,CHN,Shanghai Stock Exchange,2014,Guidelines for Environmental Information Disclosure of Listed Companies in Shanghai Stock Exchange (in Chinese)
