Refinitiv ESG Statement - BROWN & BROWN INC (BRO.N),,,,,,,,,,
Environment,,,,,,,,,,
,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Period End Date,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
Reporting Currency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
Period Status,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete
ESG Report,No,No,No,No,No,No,No,No,No,No
ESG Reporting Scope,--,--,--,--,--,--,--,--,--,--
ESG Report Auditor Name,--,--,--,--,--,--,--,--,--,--
 ESG Combined Score ,C,C-,C-,C+,C-,C,C,C,C+,C
 ESG Score (Weight 100.0%),C,C-,C-,C+,C,C,C,C,C+,C
 Environmental Pillar Score (Weight 13.3%),D-,D-,D-,D-,D+,D+,D+,D+,D+,D+
 Social Pillar Score (Weight 46.7%),C,C,C-,C,C-,C-,C-,C+,C+,C
 Governance Pillar Score (Weight 40.0%),C+,C,C,B+,B+,B,B,B-,B-,B-
 ESG Controversies Score ,A+,A+,A+,A+,D+,A+,A+,A+,A+,A+
Resource Use (Weight 2.7%),D-,D-,D-,D-,D-,D-,D-,D-,D-,D-
     Policy Water Efficiency ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Policy Energy Efficiency ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Policy Environmental Supply Chain ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Targets Energy Efficiency ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Environment Management Team ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Environmental Materials Sourcing ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Green Buildings ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Environmental Supply Chain Management ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Env Supply Chain Partnership Termination ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Emissions (Weight 2.7%),D-,D-,D-,D-,D-,D-,D-,D-,D-,D-
     Policy Emissions ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Targets Emissions ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Climate Change Commercial Risks Opportunities ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     e-Waste Reduction ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Environmental Restoration Initiatives ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Staff Transportation Impact Reduction ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Environmental Expenditures Investments ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Environmental Partnerships ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Innovation (Weight 8.0%),D-,D-,D-,D-,D-,D-,D-,D-,D-,D-
     Environmental Products ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Environmental Assets Under Mgt ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Equator Principles or Env Project Financing ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Renewable/Clean Energy Products ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Fossil Fuel Divestment Policy ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
