Refinitiv ESG Statement - CBRE GROUP INC (CBRE.N),,,,,,,,,,
Environment,,,,,,,,,,
,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Period End Date,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
Reporting Currency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
Period Status,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete
ESG Report,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ESG Reporting Scope,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
ESG Report Auditor Name,Apex Companies LLC,Apex Companies LLC,"Apex Companies, LLC",Bureau Veritas,--,--,--,--,--,--
 ESG Combined Score ,A,A,A,A+,A,A,A-,A-,A,A-
 ESG Score (Weight 100.0%),A,A,A,A+,A,A,A-,A-,A,A-
 Environmental Pillar Score (Weight 31.5%),A-,A-,A,A,A-,A-,B+,B+,A-,A-
 Social Pillar Score (Weight 35.9%),A-,A,A,A,A+,A,A,A-,A-,A-
 Governance Pillar Score (Weight 32.6%),A+,A+,A+,A+,A,A+,A-,B+,A+,A
 ESG Controversies Score ,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+
Resource Use (Weight 12.0%),A-,A-,A,A-,A-,A-,B+,B+,B+,B
     Policy Water Efficiency ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Policy Energy Efficiency ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Policy Environmental Supply Chain ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
     Targets Water Efficiency ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Targets Energy Efficiency ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Environment Management Team ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Environmental Materials Sourcing ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Total Energy Use / Million in Revenue $ ,35.72,50.70,52.12,43.99,49.94,70.46,70.51,82.22,89.01,--
     Renewable Energy Use Ratio ,2.12%,1.77%,1.26%,--,--,--,--,--,--,--
     Total Renewable Energy To Energy Use in million ,"21,166.28","17,651.00","12,576.38",--,--,--,--,--,--,--
     Green Buildings ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Environmental Supply Chain Management ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Environmental Supply Chain Monitoring ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,--,--,--,--
     Env Supply Chain Partnership Termination ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Emissions (Weight 12.0%),B+,A-,A-,A,A,A,A,A-,A+,A+
     Policy Emissions ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Targets Emissions ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
     Biodiversity Impact Reduction ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Total CO2 Emissions / Million in Revenue $ ,2.38,3.48,3.63,3.30,3.81,5.36,5.98,7.21,7.05,10.18
"     CO2 Equivalent Emissions Indirect, Scope 3 To Revenues USD in million ","3,213.75","2,295.15","2,440.27",0.94,1.00,0.98,1.21,--,1.25,0.27
     Climate Change Commercial Risks Opportunities ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     e-Waste Reduction ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Environmental Restoration Initiatives ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Staff Transportation Impact Reduction ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Self-Reported Environmental Fines To Revenues in million ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
     Environmental Partnerships ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Innovation (Weight 7.6%),A+,A+,A+,A+,B+,B+,B+,B+,B+,B+
     Environmental Products ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Sustainable Building Products ,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Real Estate Sustainability Certifications ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
