Refinitiv ESG Statement - DEXCOM INC (DXCM.OQ),,,,,,,,,,
Environment,,,,,,,,,,
,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Period End Date,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,--,--,--
Reporting Currency,USD,USD,USD,USD,USD,USD,USD,--,--,--
Period Status,Complete,Complete,Complete,Complete,Complete,Complete,Complete,--,--,--
ESG Report,Yes,Yes,Yes,No,No,No,No,--,--,--
ESG Reporting Scope,100%,100%,100%,--,--,--,--,--,--,--
ESG Report Auditor Name,--,--,--,--,--,--,--,--,--,--
 ESG Combined Score ,C+,C+,C,D+,D+,D+,D+,,,
 ESG Score (Weight 100.0%),C+,C+,C,D+,D+,D+,D+,,,
 Environmental Pillar Score (Weight 16.8%),C,C-,D,D-,D-,D-,D-,,,
 Social Pillar Score (Weight 47.3%),B,B,B,C-,C-,C-,C-,,,
 Governance Pillar Score (Weight 35.9%),C-,C-,D+,D,D+,D+,D+,,,
 ESG Controversies Score ,A+,A+,A+,A+,A+,A+,A+,,,
Resource Use (Weight 4.8%),B-,B-,D+,D-,D-,D-,D-,,,
     Policy Water Efficiency ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,--,--,--
     Policy Energy Efficiency ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,--,--,--
     Policy Sustainable Packaging ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--
     Policy Environmental Supply Chain ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--
     Targets Water Efficiency ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--
     Targets Energy Efficiency ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--
     Environment Management Team ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,--,--,--
     Environmental Materials Sourcing ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--
     Toxic Chemicals Reduction ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--
     Green Buildings ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--
     Environmental Supply Chain Management ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--
     Environmental Supply Chain Monitoring ,TRUE,TRUE,--,--,--,--,--,--,--,--
     Env Supply Chain Partnership Termination ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--
Emissions (Weight 6.0%),B-,C-,C-,D-,D-,D-,D-,,,
     Policy Emissions ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,--,--,--
     Targets Emissions ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--
     Biodiversity Impact Reduction ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--
     Climate Change Commercial Risks Opportunities ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--
     e-Waste Reduction ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--
     Staff Transportation Impact Reduction ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,--,--,--
     Environmental Expenditures Investments ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--
     Environmental Partnerships ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--
Innovation (Weight 6.0%),D-,D-,D-,D-,D-,D-,D-,,,
     Environmental Products ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--
