Refinitiv ESG Statement - REALTY INCOME CORP (O.N),,,,,,,,,,
Environment,,,,,,,,,,
,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Period End Date,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
Reporting Currency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
Period Status,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete
ESG Report,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
ESG Reporting Scope,100%,100%,100%,100%,100%,100%,--,--,--,--
ESG Report Auditor Name,--,--,--,--,--,--,--,--,--,--
 ESG Combined Score ,A,A-,B+,B-,B,B,B-,C+,C+,C+
 ESG Score (Weight 100.0%),A,A-,B+,B-,B,B,B-,C+,C+,C+
 Environmental Pillar Score (Weight 37.6%),A+,A,B+,C+,B-,C+,C+,C-,C-,C-
 Social Pillar Score (Weight 30.2%),B+,B,B-,B-,B,B-,C,C,C-,C-
 Governance Pillar Score (Weight 32.2%),A,A-,A-,B-,B+,B+,B+,B+,B+,B+
 ESG Controversies Score ,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+
Resource Use (Weight 17.2%),A+,A-,B+,C+,C+,C-,C,C-,C,C
     Policy Water Efficiency ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Policy Energy Efficiency ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Policy Environmental Supply Chain ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Targets Water Efficiency ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Targets Energy Efficiency ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Environment Management Team ,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
     Environmental Materials Sourcing ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Total Energy Use / Million in Revenue $ ,1.64,2.17,2.77,--,--,--,--,--,--,--
     Renewable Energy Use Ratio ,95.67%,--,--,--,--,--,--,--,--,--
     Total Renewable Energy To Energy Use in million ,"956,659.62",--,--,--,--,--,--,--,--,--
     Green Buildings ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Total Water Use / Million in Revenue $ ,3.21,5.13,6.55,--,--,--,--,--,--,--
     Environmental Supply Chain Management ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Emissions (Weight 16.1%),A+,A+,A,B-,B,B,B,C-,C-,C-
     Policy Emissions ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Targets Emissions ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Biodiversity Impact Reduction ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Total CO2 Emissions / Million in Revenue $ ,0.13,0.17,0.23,--,--,--,--,--,--,--
"     CO2 Equivalent Emissions Indirect, Scope 3 To Revenues USD in million ",122.38,21.79,8.06,--,--,--,--,--,--,--
     Climate Change Commercial Risks Opportunities ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
     e-Waste Reduction ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
     Staff Transportation Impact Reduction ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
     Environmental Expenditures Investments ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
     Environmental Partnerships ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Innovation (Weight 4.3%),A-,A-,B-,B-,B,B,B,D-,D-,D-
     Environmental Products ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
     Real Estate Sustainability Certifications ,TRUE,TRUE,--,--,--,--,--,--,--,--
