Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,17.520000,17.980000,17.389999,17.670000,11.762928,3665100
2011-01-08,17.620001,18.549999,17.450001,18.340000,12.208948,2804000
2011-01-15,18.299999,18.840000,18.080000,18.780001,12.501852,3557800
2011-01-22,18.750000,19.540001,18.639999,19.020000,12.661624,4531800
2011-01-29,19.150000,19.650000,19.000000,19.520000,12.994474,3549300
2011-02-05,19.500000,19.870001,19.410000,19.750000,13.147586,2462600
2011-02-12,19.719999,19.830000,19.049999,19.400000,12.914589,3305700
2011-02-19,19.270000,19.490000,18.400000,19.129999,12.734853,2872200
2011-02-26,19.190001,19.820000,19.139999,19.770000,13.160904,5474500
2011-03-05,19.780001,20.370001,19.340000,19.690001,13.107640,4026600
2011-03-12,19.440001,19.820000,18.700001,19.459999,13.047492,5691400
2011-03-19,19.590000,20.160000,19.500000,20.030001,13.429664,3804000
2011-03-26,20.080000,20.920000,19.860001,20.490000,13.738083,5520200
2011-04-02,20.559999,20.650000,19.379999,19.520000,13.087721,3759300
2011-04-09,19.510000,20.420000,19.270000,20.360001,13.650923,3393400
2011-04-16,20.150000,21.100000,19.980000,21.030001,14.100142,2217400
2011-04-23,20.930000,22.219999,20.889999,21.639999,14.509133,3356300
2011-04-30,21.780001,21.780001,21.010000,21.090000,14.140370,3423500
2011-05-07,21.080000,21.879999,21.020000,21.230000,14.234235,6157000
2011-05-14,21.150000,21.830000,21.020000,21.090000,14.140370,4148200
2011-05-21,20.809999,21.520000,20.650000,21.370001,14.328105,3211200
2011-05-28,21.629999,21.820000,20.700001,20.809999,13.952638,3593600
2011-06-04,20.790001,21.200001,20.129999,20.190001,13.536944,3814700
2011-06-11,20.049999,20.340000,19.610001,19.959999,13.382730,5373300
2011-06-18,19.900000,20.910000,19.879999,20.480000,13.827259,5279500
2011-06-25,20.490000,21.750000,20.459999,21.690001,14.644201,3208500
2011-07-02,21.680000,22.410000,21.639999,22.030001,14.873756,2797900
2011-07-09,21.820000,22.000000,21.190001,21.780001,14.704964,3475400
2011-07-16,21.709999,22.440001,21.379999,22.190001,14.981783,2407100
2011-07-23,21.990000,22.209999,20.959999,21.260000,14.353882,2804900
2011-07-30,21.480000,21.629999,19.080000,19.469999,13.145346,6904800
2011-08-06,18.889999,20.540001,17.809999,20.160000,13.611208,9453700
2011-08-13,20.260000,21.280001,19.200001,19.340000,13.057581,4933000
2011-08-20,19.809999,20.990000,19.150000,20.430000,13.793503,4512700
2011-08-27,20.670000,21.670000,20.389999,20.830000,14.063564,5386400
2011-09-03,20.290001,21.910000,20.290001,20.719999,13.989294,3575500
2011-09-10,20.400000,21.600000,20.350000,21.559999,14.556430,4955900
2011-09-17,21.059999,21.510000,18.940001,19.260000,13.091596,4863700
2011-09-24,19.400000,20.270000,18.610001,18.629999,12.663364,4409300
2011-10-01,18.440001,19.670000,17.290001,18.639999,12.670162,4809700
2011-10-08,19.110001,20.000000,18.920000,19.940001,13.553813,3388400
2011-10-15,19.799999,20.980000,19.469999,20.980000,14.260731,3815000
2011-10-22,21.100000,23.209999,20.790001,22.820000,15.511434,6379500
2011-10-29,22.690001,23.000000,21.799999,22.840000,15.525026,5349500
2011-11-05,22.790001,23.120001,21.950001,22.900000,15.565812,3282600
2011-11-12,22.780001,23.719999,22.490000,23.410000,15.912476,4827800
2011-11-19,22.980000,23.100000,22.160000,22.180000,15.076407,4671500
2011-11-26,22.950001,24.469999,22.629999,24.080000,16.367889,6627200
2011-12-03,24.570000,24.680000,23.480000,23.860001,16.218355,4390600
2011-12-10,23.600000,23.809999,22.990000,23.670000,16.182169,6274300
2011-12-17,23.750000,24.320000,23.350000,24.280001,16.599197,4604500
2011-12-24,24.219999,24.590000,24.090000,24.230000,16.565016,2521500
2011-12-31,24.510000,24.770000,23.799999,24.400000,16.681232,5014500
2012-01-07,24.340000,24.900000,24.180000,24.510000,16.756441,3449700
2012-01-14,24.730000,25.459999,24.549999,25.459999,17.405916,3110200
2012-01-21,25.420000,25.940001,25.209999,25.870001,17.686211,4528700
2012-01-28,25.629999,27.230000,25.530001,27.200001,18.595480,5772400
2012-02-04,27.030001,27.440001,25.910000,25.910000,17.713560,4915900
2012-02-11,26.170000,26.940001,26.170000,26.760000,18.294670,3923100
2012-02-18,26.809999,27.629999,26.100000,26.650000,18.219467,2953400
2012-02-25,26.780001,26.930000,26.200001,26.379999,18.034874,3541900
2012-03-03,26.330000,26.770000,26.170000,26.350000,18.014364,3840400
2012-03-10,26.400000,27.610001,26.320000,27.590000,18.862114,3768900
2012-03-17,27.530001,28.040001,27.040001,27.879999,19.204220,2258600
2012-03-24,28.070000,28.920000,28.000000,28.790001,19.831041,4405900
2012-03-31,28.700001,29.200001,27.969999,28.780001,19.824146,5027300
2012-04-07,28.379999,28.610001,27.450001,28.270000,19.472855,5833100
2012-04-14,28.459999,29.200001,28.049999,29.090000,20.037685,10767900
2012-04-21,28.740000,30.650000,28.370001,30.480000,20.995138,7053200
2012-04-28,30.480000,30.820000,29.940001,30.080000,20.719610,7152600
2012-05-05,30.000000,30.480000,29.580000,30.040001,20.692062,3969000
