Identifier (RIC),Company Name,"ESG Score
(FY0)
(Σ=Avg)","ESG Period Last Update Date
(FY0)","ESG Score
(FY-1)
(Σ=Avg)","YoY % Chg in
ESG Score
(FY0)
(Σ=Avg)",Ticker Symbol,TRBC Economic Sector Name,"Original Announcement Date Time
(FY0)","Market Cap
(Σ=Avg)","Beta
(Σ=Avg)"
Summary (579),,40.74 (C),,38.72 (C),17.8% (D-),,,,"4,304,183,517.54",1.41
BKR.OQ,Baker Hughes Co,92.13 (A+),29/03/2023,85.06 (A),8.3% (D-),BKR,Energy,23/01/2023,"28,848,413,186.82",1.47
CVX.N,Chevron Corp,86.20 (A),29/03/2023,83.69 (A),3.0% (D-),CVX,Energy,27/01/2023,"319,653,903,476.60",1.15
KMI.N,Kinder Morgan Inc,85.90 (A),29/03/2023,87.31 (A),-1.6% (D),KMI,Energy,18/01/2023,"39,812,488,799.93",0.92
HAL.N,Halliburton Co,85.78 (A),29/03/2023,89.62 (A),-4.3% (D),HAL,Energy,24/01/2023,"29,533,180,987.12",2.12
SLB.N,Schlumberger NV,85.47 (A),29/03/2023,81.24 (A-),5.2% (D-),SLB,Energy,20/01/2023,"70,469,752,973.04",1.78
HES.N,Hess Corp,80.86 (A-),29/03/2023,81.24 (A-),-0.5% (D),HES,Energy,25/01/2023,"43,257,287,823.60",1.58
MPC.N,Marathon Petroleum Corp,79.18 (A-),31/03/2023,69.73 (B+),13.5% (D-),MPC,Energy,31/01/2023,"56,828,387,612.56",1.64
MRO.N,Marathon Oil Corp,75.39 (A-),29/03/2023,76.05 (A-),-0.9% (D),MRO,Energy,15/02/2023,"16,068,775,286.08",2.39
LNG.A,Cheniere Energy Inc,75.01 (A-),24/03/2023,67.96 (B+),10.4% (D-),LNG,Energy,23/02/2023,"37,323,264,996.45",1.02
CEIX.N,CONSOL Energy Inc,74.79 (B+),31/03/2023,61.41 (B),21.8% (D-),CEIX,Energy,07/02/2023,"2,043,165,238.73",1.85
PSX.N,Phillips 66,74.68 (B+),31/03/2023,78.54 (A-),-4.9% (D),PSX,Energy,31/01/2023,"47,400,270,912.24",1.37
ETRN.N,Equitrans Midstream Corp,74.27 (B+),29/03/2023,76.31 (A-),-2.7% (D),ETRN,Energy,21/02/2023,"2,224,270,320.64",1.99
FSLR.OQ,First Solar Inc,72.59 (B+),29/03/2023,76.35 (A-),-4.9% (D),FSLR,Energy,28/02/2023,"21,846,310,990.53",1.43
WMB.N,Williams Companies Inc,70.87 (B+),29/03/2023,71.60 (B+),-1.0% (D),WMB,Energy,20/02/2023,"36,130,391,734.35",1.19
OXY.N,Occidental Petroleum Corp,69.47 (B+),29/03/2023,74.34 (B+),-6.5% (D),OXY,Energy,27/02/2023,"56,617,178,299.52",1.8
OKE.N,ONEOK Inc,69.31 (B+),29/03/2023,61.13 (B),13.4% (D-),OKE,Energy,27/02/2023,"29,392,317,308.88",1.62
COP.N,Conocophillips,69.12 (B+),31/03/2023,67.55 (B+),2.3% (D-),COP,Energy,02/02/2023,"128,774,210,897.64",1.31
VLO.N,Valero Energy Corp,68.80 (B+),31/03/2023,68.84 (B+),-0.1% (D),VLO,Energy,26/01/2023,"48,771,924,958.14",1.66
WFRD.OQ,Weatherford International PLC,68.39 (B+),29/03/2023,60.89 (B),12.3% (D-),WFRD,Energy,07/02/2023,"4,220,100,809.13",0.7
XOM.N,Exxon Mobil Corp,68.20 (B+),29/03/2023,70.09 (B+),-2.7% (D),XOM,Energy,31/01/2023,"468,366,822,869.40",1.07
RRC.N,Range Resources Corp,67.69 (B+),29/03/2023,63.85 (B),6.0% (D-),RRC,Energy,27/02/2023,"6,370,714,428.64",2.14
GPRE.OQ,Green Plains Inc,67.38 (B+),29/03/2023,61.28 (B),10.0% (D-),GPRE,Energy,08/02/2023,"1,818,085,788.16",1.73
NOV.N,Nov Inc,67.31 (B+),29/03/2023,50.64 (B-),32.9% (D-),NOV,Energy,06/02/2023,"7,091,032,725.25",1.9
OIS.N,Oil States International Inc,67.17 (B+),29/03/2023,57.74 (B-),16.3% (D-),OIS,Energy,16/02/2023,"523,974,233.55",2.94
AM.N,Antero Midstream Corp,66.46 (B),29/03/2023,64.74 (B),2.7% (D-),AM,Energy,15/02/2023,"5,011,082,151.42",2.29
ARCH.N,Arch Resources Inc,65.66 (B),31/03/2023,64.91 (B),1.2% (D-),ARCH,Energy,16/02/2023,"2,293,381,271.72",0.7
FANG.OQ,Diamondback Energy Inc,65.55 (B),29/03/2023,57.41 (B-),14.2% (D-),FANG,Energy,21/02/2023,"25,803,620,881.50",2.02
SWN.N,Southwestern Energy Co,65.12 (B),29/03/2023,65.56 (B),-0.7% (D),SWN,Energy,23/02/2023,"5,528,337,077.32",1.31
