Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,33.343021,33.624031,32.538761,32.761627,18.786814,3523042
2011-01-08,32.616280,32.877907,32.364342,32.664730,18.731253,2649557
2011-01-15,32.810078,33.420544,32.538761,32.781010,18.797922,2917051
2011-01-22,32.926357,34.108528,32.877907,33.468990,19.192440,3134906
2011-01-29,33.672482,34.127907,33.372093,33.478683,19.277046,2851209
2011-02-05,33.624031,34.050388,33.536823,33.720928,19.416529,2507966
2011-02-12,33.905041,34.379845,33.624031,34.379845,19.795933,2927579
2011-02-19,34.195736,34.670544,33.750000,34.534885,19.885193,2885782
2011-02-26,34.874031,35.000000,33.730621,33.798450,19.541515,3619431
2011-03-05,34.001938,34.496124,33.081394,33.468990,19.351027,11602776
2011-03-12,33.362404,33.672482,32.761627,33.565891,19.407042,5998913
2011-03-19,33.672482,33.720928,32.848839,33.546513,19.395855,4165771
2011-03-26,33.575581,33.914730,33.226746,33.817829,19.552713,5091475
2011-04-02,33.914730,34.060078,33.439922,33.565891,19.488316,3519120
2011-04-09,33.614342,34.040699,33.333332,33.982559,19.730238,3155958
2011-04-16,33.779072,34.428295,33.391472,34.408916,19.977781,2513333
2011-04-23,34.399223,35.222870,34.176357,34.447674,20.000284,3629234
2011-04-30,34.660854,34.844959,34.127907,34.137596,19.900364,3180521
2011-05-07,34.137596,34.428295,33.720928,33.895348,19.759144,3175877
2011-05-14,33.875969,34.428295,33.691860,34.031010,19.838236,2674840
2011-05-21,33.827518,34.001938,33.381783,33.866280,19.742193,2910034
2011-05-28,34.127907,34.147285,32.781010,33.091084,19.370558,3907771
2011-06-04,33.129845,33.265503,31.191860,31.279070,18.309851,4434401
2011-06-11,31.346899,32.519379,31.259689,32.441860,18.990515,5101589
2011-06-18,32.441860,32.848839,31.627907,32.063953,18.769300,3683622
2011-06-25,32.063953,32.984497,31.996124,32.965115,19.296806,2941097
2011-07-02,33.023254,33.943798,32.751938,33.856590,19.905104,2726234
2011-07-09,33.594959,33.740311,32.655041,33.003876,19.403772,3170407
2011-07-16,32.887596,33.546513,32.567829,33.468990,19.677227,2465241
2011-07-23,33.217052,33.323643,31.191860,31.453487,18.492260,2934492
2011-07-30,32.742249,32.868217,28.846899,29.079456,17.171459,8326589
2011-08-06,28.362404,31.608526,27.063953,30.678295,18.115578,11723726
2011-08-13,31.143412,31.976744,30.532946,31.046513,18.333014,4851328
2011-08-20,31.637596,33.304264,30.717054,32.596897,19.248514,3965873
2011-08-27,32.955425,33.827518,32.228683,32.277130,19.059681,3629854
2011-09-03,31.463179,33.740311,31.405039,32.596897,19.329329,3812517
2011-09-10,32.335270,33.866280,32.209301,33.856590,20.076313,4174544
2011-09-17,33.236435,33.788761,31.492249,32.538761,19.294847,10669022
2011-09-24,32.732559,33.052326,31.230619,31.240311,18.524891,9518136
2011-10-01,30.959303,31.346899,28.856588,29.825581,17.762856,8501720
2011-10-08,30.319767,31.482557,30.029070,31.434109,18.720825,6676523
2011-10-15,31.317829,32.228683,30.862404,32.199612,19.176735,5471252
2011-10-22,32.296513,33.042637,32.044575,32.897285,19.592226,5178370
2011-10-29,32.684109,32.897285,31.550388,32.461239,19.415216,5589209
2011-11-05,32.548450,32.819767,31.434109,32.248062,19.287712,3864117
2011-11-12,32.170544,32.974808,31.753876,32.674419,19.542723,4978264
2011-11-19,32.335270,32.383720,31.375969,31.492249,18.835661,2774015
2011-11-26,32.325581,32.868217,31.744186,32.228683,19.276119,4338220
2011-12-03,32.596897,32.936047,32.073643,32.848839,19.733334,3451420
2011-12-10,32.674419,33.507751,32.296513,33.507751,20.129164,6279515
2011-12-17,33.556202,34.282948,32.906979,34.156979,20.519182,3880733
2011-12-24,34.156979,34.651161,33.875969,33.875969,20.350357,2204456
2011-12-31,34.360466,34.534885,33.236435,33.711239,20.334824,3732124
2012-01-07,33.914730,34.602715,33.672482,34.563953,20.849180,3283927
2012-01-14,34.786823,35.125969,34.244186,34.505814,20.814127,4361748
2012-01-21,34.554264,35.532948,34.447674,35.474808,21.398626,3262668
2012-01-28,35.184109,36.191860,34.961239,36.143410,21.801926,3601989
2012-02-04,36.036823,36.472870,35.610466,35.813953,21.689697,2945122
2012-02-11,35.949612,36.075581,35.193798,35.639534,21.584059,3074019
2012-02-18,35.571705,36.191860,35.125969,36.036823,21.824669,2731498
2012-02-25,35.939922,35.998062,35.213177,35.687984,21.613396,3230263
2012-03-03,35.697674,36.191860,35.620155,35.813953,21.776014,3248014
2012-03-10,35.881783,37.005814,35.852715,36.753876,22.347525,3261018
2012-03-17,36.782948,37.180233,36.405041,36.967052,22.477125,2625615
2012-03-24,37.189922,37.819767,37.005814,37.529072,22.818859,3083617
2012-03-31,37.529072,37.887596,36.143410,36.337208,22.177364,3516952
2012-04-07,35.959301,36.879845,35.726746,36.346897,22.183270,3565974
2012-04-14,36.608528,37.567829,36.453487,37.432171,22.845638,3380007
2012-04-21,37.180233,38.362404,37.015503,38.032948,23.212297,3410140
2012-04-28,37.965115,38.585270,37.819767,38.071705,23.322369,3242234
2012-05-05,37.984497,38.624031,37.674419,38.439922,23.547935,3170098
2012-05-12,38.255814,38.498062,36.821705,36.841084,22.568495,3818916
2012-05-19,36.928295,37.703487,36.511627,37.393410,22.906849,2835110
2012-05-26,37.664730,37.936047,36.434109,36.627907,22.437910,2863903
2012-06-02,36.724808,38.798450,36.405041,38.459301,23.648062,3757409
2012-06-09,38.895348,38.895348,37.684109,38.430233,23.630190,3581041
2012-06-16,38.372093,39.418606,38.323643,38.856590,23.892347,4019640
2012-06-23,38.565891,40.591084,38.565891,40.474808,24.887367,3859990
2012-06-30,40.571705,40.920544,40.426357,40.794575,25.174267,1858735
2012-07-07,40.804264,41.191860,40.048450,41.191860,25.419430,3996214
2012-07-14,41.182171,41.279072,40.087208,40.242249,24.833433,3800030
2012-07-21,39.757751,40.707363,39.234497,40.009689,24.689913,3360191
2012-07-28,39.912792,40.503876,39.467052,40.125969,24.761669,2524066
2012-08-04,40.164730,40.261627,39.011627,39.321705,24.351471,3103017
2012-08-11,39.263565,40.649223,39.176357,40.426357,25.035553,4313244
2012-08-18,40.503876,41.133720,40.125969,41.036823,25.413635,4557209
2012-08-25,41.046513,41.627907,40.474808,40.823643,25.281601,8327002
2012-09-01,40.746124,42.848839,40.474808,41.453487,25.762865,11398956
2012-09-08,41.346897,41.492249,40.571705,40.891472,25.413576,5709333
2012-09-15,40.901161,41.211239,39.796513,39.883720,24.787287,4918408
2012-09-22,39.883720,40.387596,39.098839,39.622093,24.624687,5965683
2012-09-29,39.796513,40.300388,39.108528,39.961239,24.928114,4649263
2012-10-06,39.961239,40.125969,39.612404,39.728683,24.783054,2786607
2012-10-13,40.145348,40.406979,39.505814,39.670544,24.746784,4391366
2012-10-20,39.670544,39.815891,37.606590,38.381783,23.942846,4164636
2012-10-27,38.362404,38.604652,37.635658,38.236435,23.852180,3611175
2012-11-03,38.391472,38.401161,36.773254,37.209301,23.300262,4451222
2012-11-10,37.218990,37.374031,36.172482,37.209301,23.300262,5053085
2012-11-17,37.500000,38.468990,37.015503,38.110466,23.864576,3290016
2012-11-24,38.062016,39.418606,37.655041,39.418606,24.683712,7821528
2012-12-01,39.312016,39.525192,38.817829,39.379845,24.754543,4182386
2012-12-08,39.321705,39.583332,38.905041,39.108528,24.583982,3633467
2012-12-15,39.234497,39.815891,38.885658,39.447674,24.797186,4896015
2012-12-22,39.447674,39.767441,38.875969,38.895348,24.449976,2431185
2012-12-29,38.846897,40.067829,38.759689,40.048450,25.269558,4823156
2013-01-05,40.067829,41.618217,39.651161,41.569767,26.229443,10737857
2013-01-12,41.511627,42.974808,41.472870,42.674419,26.926464,14257079
2013-01-19,42.538761,42.771317,41.937984,42.131783,26.584087,10796268
2013-01-26,42.529072,42.926357,41.870155,42.054264,26.535164,9524432
2013-02-02,41.996124,42.393410,41.831394,41.860466,26.523069,5774453
2013-02-09,42.025192,43.168606,41.889534,43.081394,27.296663,6527090
2013-02-16,43.391472,43.604652,42.713177,43.091084,27.302811,5245037
2013-02-23,43.129845,44.457363,42.877907,44.360466,28.107086,7987473
2013-03-02,44.263565,45.203487,43.943798,44.476746,28.294830,27462243
2013-03-09,44.341084,44.341084,42.877907,43.352715,27.579752,10203074
2013-03-16,43.091084,43.236435,42.306202,43.081394,27.407137,7439791
2013-03-23,43.042637,43.963177,42.645348,43.943798,27.955776,7764562
2013-03-30,43.895348,44.612404,43.507751,44.602715,28.489721,7567760
2013-04-06,44.622093,46.250000,44.534885,46.250000,29.541895,9746311
2013-04-13,46.172482,47.480621,45.377907,47.480621,30.327946,6770127
2013-04-20,47.480621,48.449612,47.063953,48.129845,30.742640,6271360
2013-04-27,48.236435,50.174419,48.110466,50.174419,32.048599,6004796
2013-05-04,49.990311,51.007751,49.699612,50.591084,32.432911,5486423
2013-05-11,50.697674,53.381783,50.697674,53.381783,34.221989,9798736
2013-05-18,53.275192,53.759689,47.819767,48.129845,30.855074,11600093
2013-05-25,48.507751,48.827518,44.040699,44.040699,28.233599,11398027
2013-06-01,43.972870,44.467052,41.908916,43.439922,27.955156,15177107
2013-06-08,43.459301,44.031010,41.492249,43.536823,28.017508,11693076
2013-06-15,43.846897,44.021317,39.098839,39.563953,25.460806,16229128
2013-06-22,39.399223,41.424419,38.594959,40.620155,26.140530,13714042
2013-06-29,40.823643,42.248062,40.368217,41.337208,26.718220,10772532
2013-07-06,41.298450,43.517441,41.172482,43.449612,28.083574,14270393
2013-07-13,43.643410,44.573643,43.420544,43.924419,28.390453,6919973
2013-07-20,44.011627,44.622093,42.684109,42.926357,27.745371,8160333
2013-07-27,42.974808,43.701550,41.482559,41.831394,27.037626,9169939
2013-08-03,41.841084,42.519379,40.939922,42.151161,27.356241,6415738
2013-08-10,42.093021,42.141472,38.662792,38.856590,25.218048,9174377
2013-08-17,38.856590,39.680233,38.062016,39.418606,25.582787,12098550
2013-08-24,39.418606,39.457363,37.994186,38.275192,24.840714,6532559
2013-08-31,38.750000,38.750000,37.199612,37.916668,24.721708,6628845
2013-09-07,38.178295,39.050388,37.829456,37.984497,24.765928,7253928
2013-09-14,38.614342,40.106590,38.032948,38.682171,25.220827,10776041
2013-09-21,38.730621,40.242249,38.275192,39.011627,25.435625,14251404
2013-09-28,38.720928,39.874031,38.236435,38.468990,25.193411,11006590
2013-10-05,38.187984,39.399223,37.887596,39.389534,25.796289,6970233
2013-10-12,39.224808,41.288761,39.050388,40.562016,26.564146,6732769
2013-10-19,40.562016,41.656979,39.156979,41.647285,27.274885,24507626
2013-10-26,41.666668,41.870155,40.135658,40.649223,26.621258,11251277
2013-11-02,40.649223,40.833332,38.672482,38.817829,25.529987,9044448
2013-11-09,38.924419,39.660854,38.149223,39.554264,26.014349,8194803
2013-11-16,39.622093,39.660854,37.432171,37.577518,24.714268,9570562
2013-11-23,37.742249,37.751938,36.695736,36.928295,24.287275,14137677
2013-11-30,36.918606,37.054264,35.445736,35.930233,23.744959,11110202
2013-12-07,35.949612,37.112404,35.532948,37.063953,24.494184,13349642
2013-12-14,37.354652,38.643410,36.434109,36.472870,24.103561,16772373
2013-12-21,36.715115,37.306202,36.482559,36.686047,24.244440,5423470
2013-12-28,36.656979,36.686047,35.862404,36.560078,24.161194,6719249
2014-01-04,36.792637,37.461239,36.143410,37.364342,24.811979,9979233
2014-01-11,37.335270,37.790699,36.967052,37.218990,24.715456,7846606
2014-01-18,37.277130,38.546513,37.277130,38.313953,25.442568,7958372
2014-01-25,38.410854,39.728683,38.187984,39.515503,26.240469,11711342
2014-02-01,39.534885,39.554264,38.042637,39.302326,26.216612,10682954
2014-02-08,39.350777,40.620155,38.963177,40.426357,26.966389,7823592
2014-02-15,40.736435,42.170544,40.077518,42.063953,28.058752,10187285
2014-02-22,42.063953,43.711239,42.054264,43.042637,28.711573,14851306
2014-03-01,42.906979,43.197674,40.000000,40.300388,26.992760,11877597
2014-03-08,39.767441,41.405041,39.641472,41.007751,27.466547,10650859
2014-03-15,41.201550,41.463177,39.060078,39.825581,26.674732,13001239
2014-03-22,39.980621,40.193798,38.391472,39.486435,26.447580,27325399
2014-03-29,39.563953,39.728683,38.963177,39.476746,26.559559,12673992
2014-04-05,39.467052,40.930233,39.389534,40.145348,27.009396,13072034
2014-04-12,40.251938,41.521317,39.941860,40.591084,27.309288,8821330
2014-04-19,40.620155,41.763565,40.426357,41.560078,27.961227,8018227
2014-04-26,41.647285,42.344959,41.220928,41.870155,28.169832,11471505
2014-05-03,41.647285,42.965115,41.463177,42.422482,28.661131,9575826
2014-05-10,42.596897,43.100777,41.560078,42.519379,28.726582,9341147
2014-05-17,42.383720,42.635658,41.511627,41.598839,28.104671,9268909
2014-05-24,41.763565,42.306202,41.375969,41.957363,28.346901,9273242
2014-05-31,41.947674,42.936047,41.647285,42.703487,28.973150,7710072
2014-06-07,42.625969,42.781010,41.666668,42.490311,28.828522,8961888
2014-06-14,42.490311,43.546513,41.967052,43.546513,29.545109,9701316
2014-06-21,43.507751,43.585270,42.374031,42.848839,29.071783,8037422
2014-06-28,42.858528,43.527130,42.509689,42.858528,29.199495,6782923
2014-07-05,42.819767,43.827518,42.713177,43.711239,29.780464,7164040
2014-07-12,43.798450,44.418606,43.556202,44.370155,30.229359,6225230
2014-07-19,44.186047,44.292637,42.926357,43.304264,29.503162,9244450
2014-07-26,43.265503,43.701550,41.443798,41.647285,28.374271,10881925
2014-08-02,41.695736,42.509689,41.414730,42.441860,29.034836,6367750
2014-08-09,42.422482,43.459301,42.122093,43.323643,29.638042,6257429
2014-08-16,43.362404,44.215115,43.226746,43.691860,29.889946,5140805
2014-08-23,43.875969,43.885658,42.955425,43.333332,29.644684,5550817
2014-08-30,43.304264,43.953487,42.945736,43.943798,30.185865,6939169
2014-09-06,43.788761,43.914730,41.075581,41.182171,28.288853,11324239
2014-09-13,41.220928,41.860466,40.368217,40.813953,28.035898,11231979
2014-09-20,40.755814,40.784885,39.302326,40.145348,27.576647,9353840
2014-09-27,39.718990,39.980621,39.428295,39.825581,27.356991,9015759
2014-10-04,39.854652,41.957363,39.815891,41.211239,28.434420,10433726
2014-10-11,41.240311,42.906979,40.949612,42.189922,29.109667,12882663
2014-10-18,42.189922,43.730621,42.151161,43.575581,30.065742,8003160
2014-10-25,43.585270,45.310078,43.420544,44.602715,30.774427,18677549
2014-11-01,44.718990,46.395348,44.699612,45.416668,31.461437,10367678
2014-11-08,45.397285,45.775192,44.060078,44.282948,30.676081,9597291
2014-11-15,44.302326,45.029072,44.205425,44.534885,30.850592,7944233
2014-11-22,44.670544,45.591084,44.631783,45.019379,31.186209,4515826
2014-11-29,45.019379,45.542637,43.517441,44.098839,30.669518,8900896
2014-12-06,44.098839,45.523254,43.808140,45.116280,31.377129,8550326
2014-12-13,45.222870,47.151161,44.534885,47.093021,32.751877,11865626
2014-12-20,47.073643,48.139534,46.976746,47.781010,33.230366,6274560
2014-12-27,47.790699,48.042637,46.220928,47.112404,32.765369,5415833
2015-01-03,47.063953,50.019379,46.763565,48.769379,34.043430,13387517
2015-01-10,48.643410,51.201550,48.430233,51.143410,35.700603,13898357
2015-01-17,51.124031,52.218990,50.649223,51.879845,36.214684,9998222
2015-01-24,52.093021,53.817829,52.015503,52.625969,36.735500,23281198
2015-01-31,52.519379,52.587208,48.905041,49.263565,34.506756,13449746
2015-02-07,49.137596,50.445736,48.798450,50.397285,35.300869,9939709
2015-02-14,50.387596,51.240311,49.525192,50.358528,35.273735,8752909
2015-02-21,50.484497,50.910854,47.732559,48.507751,33.977367,12283793
2015-02-28,48.507751,49.689922,46.753876,47.218990,33.197411,8774785
