Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,33.597450,34.362476,32.859745,33.224045,18.057211,20959392
2011-01-08,33.005463,33.351547,32.613842,32.996357,17.933466,14166396
2011-01-15,32.941711,33.406193,32.613842,32.723133,17.784969,11862902
2011-01-22,32.777779,34.189434,32.704918,33.287796,18.091866,18380958
2011-01-29,33.415302,34.143898,33.351547,33.488159,18.200758,18524467
2011-02-05,33.652096,33.916210,33.196720,33.588341,18.255209,12691673
2011-02-12,33.624771,34.699455,33.515484,33.870674,18.650541,18256336
2011-02-19,33.460838,34.025501,33.242260,33.734062,18.575319,15847544
2011-02-26,33.989071,34.790527,32.914391,33.642986,18.525166,23435272
2011-03-05,33.715847,34.690346,33.196720,34.626595,19.066778,15754434
2011-03-12,34.426231,34.599270,33.142078,34.471767,18.981520,17164045
2011-03-19,34.863388,34.872494,33.287796,33.451729,18.419857,45260438
2011-03-26,33.506374,34.836067,33.151184,34.362476,18.921349,20093729
2011-04-02,34.471767,34.699455,33.706741,33.861565,18.645527,11580497
2011-04-09,33.888889,34.672131,33.424408,34.635700,19.071787,13002626
2011-04-16,34.262295,35.191257,33.989071,35.145718,19.352631,9659655
2011-04-23,35.145718,37.112934,34.872494,36.083790,19.869173,14961787
2011-04-30,36.311474,36.438980,34.180328,34.371586,18.926365,15433597
2011-05-07,34.408016,34.644810,33.451729,33.515484,18.686914,15625089
2011-05-14,33.406193,33.998180,33.242260,33.661201,18.768169,11482774
2011-05-21,33.260475,33.961750,33.032787,33.897995,18.900188,11691944
2011-05-28,34.153004,34.571949,33.132969,33.588341,18.727533,14249185
2011-06-04,33.624771,33.633881,31.876139,31.903461,17.788116,14058243
2011-06-11,32.067394,34.016392,31.967213,33.779598,18.834175,19506081
2011-06-18,33.724953,34.708561,33.051003,33.287796,18.559967,15248914
2011-06-25,33.342442,33.979965,33.123863,33.907104,18.905268,12293648
2011-07-02,33.797813,34.817852,33.606556,34.790527,19.397829,10593284
2011-07-09,34.353371,34.681240,33.670311,34.116577,19.022066,17013730
2011-07-16,34.052822,34.790527,33.579235,34.526413,19.250568,12374130
2011-07-23,34.162113,34.289616,32.932606,33.451729,18.651367,13339382
2011-07-30,31.857924,32.331512,28.642986,29.153006,16.254568,35267871
2011-08-06,28.278688,30.510017,26.193077,30.200363,17.076397,51323155
2011-08-13,30.446266,31.839708,29.945354,30.264116,17.112440,25885900
2011-08-20,31.038252,32.714027,29.863388,32.559200,18.410172,21687147
2011-08-27,33.014572,34.034607,32.313297,32.367943,18.302021,17566462
2011-09-03,31.366119,33.861565,31.366119,31.821493,17.993034,17087295
2011-09-10,31.347904,34.134792,31.347904,34.080147,19.270163,19062817
2011-09-17,33.415302,34.508198,31.256830,32.012749,18.101183,23586906
2011-09-24,32.367943,33.488159,31.712204,31.930782,18.054836,19468199
2011-10-01,31.766850,32.868851,29.744991,32.067394,18.132082,28429966
2011-10-08,32.777779,33.870674,32.167576,33.178505,18.760351,21002654
2011-10-15,32.887066,34.763206,32.468124,34.581055,19.553394,24250538
2011-10-22,34.581055,36.666668,34.234974,36.602913,20.696632,25447908
2011-10-29,36.402550,37.222221,34.499088,34.617485,19.573997,25487436
2011-11-05,34.772312,35.564663,33.934425,35.391621,20.259804,19021314
2011-11-12,35.154827,35.373405,33.834244,34.353371,19.665461,16014769
2011-11-19,33.797813,33.888889,32.632057,32.868851,18.815647,10369731
2011-11-26,33.734062,35.236794,33.296902,34.326046,19.649815,14436285
2011-12-03,34.790527,35.510017,34.143898,35.346085,20.233732,14430574
2011-12-10,35.045536,36.111111,34.435337,35.528233,20.338003,15620148
2011-12-17,35.719490,37.568306,35.100182,37.504555,21.469339,13249237
2011-12-24,37.468124,38.233150,37.240437,37.732239,21.599678,7081111
2011-12-31,38.196720,38.633881,36.593807,36.739525,21.031404,15021519
2012-01-07,36.876137,37.504555,36.539162,37.440800,21.432846,12722635
2012-01-14,37.732239,38.078323,36.994537,37.204006,21.297297,13253079
2012-01-21,37.267761,38.360657,36.821495,38.178505,21.855145,20399851
2012-01-28,37.431694,38.688526,37.413479,38.014572,21.761292,16104475
2012-02-04,37.859745,38.934425,37.486340,37.686703,21.833035,14806530
2012-02-11,38.005463,38.160290,36.302368,36.775955,21.305412,15885314
2012-02-18,36.748634,36.748634,35.291439,35.591984,20.619501,18256117
2012-02-25,35.455372,36.429871,35.264118,36.092896,20.909697,13397466
2012-03-03,35.965393,36.156647,35.373405,35.546448,20.593117,14695632
2012-03-10,35.637524,37.413479,35.582878,36.621128,21.215717,15969642
2012-03-17,36.712204,37.231331,35.755920,36.001820,20.856934,15575240
2012-03-24,36.366119,36.511841,35.765026,35.938068,20.819998,13850722
2012-03-31,35.928963,36.329689,34.990894,35.173042,20.376795,9488257
2012-04-07,34.763206,35.719490,34.435337,35.455372,20.540363,14413446
2012-04-14,35.637524,36.202187,35.400730,36.065575,20.893866,9558859
2012-04-21,35.801456,37.941711,35.728596,37.641167,21.806654,13884211
