Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,7.160000,7.400000,6.910000,7.020000,5.218513,104479600
2011-01-08,7.020000,7.530000,6.890000,7.470000,5.553032,96729700
2011-01-15,7.480000,7.620000,6.980000,7.400000,5.500995,80173500
2011-01-22,7.410000,7.430000,6.790000,6.880000,5.114439,143126100
2011-01-29,6.950000,8.030000,6.920000,7.840000,5.828083,140753600
2011-02-05,7.910000,8.090000,7.510000,8.020000,5.961889,87038800
2011-02-12,8.000000,8.050000,7.650000,7.790000,5.790913,60059300
2011-02-19,7.640000,7.700000,7.230000,7.560000,5.619936,53700100
2011-02-26,7.630000,7.700000,7.380000,7.480000,5.560465,62223800
2011-03-05,7.500000,7.810000,7.280000,7.480000,5.560465,71502900
2011-03-12,7.370000,7.500000,7.060000,7.100000,5.277982,95020600
2011-03-19,7.230000,7.320000,7.080000,7.180000,5.344745,56928100
2011-03-26,7.180000,7.450000,7.100000,7.290000,5.426627,47262100
2011-04-02,7.310000,7.450000,7.190000,7.270000,5.411738,50341200
2011-04-09,7.270000,7.350000,7.090000,7.170000,5.337301,50156200
2011-04-16,7.040000,7.290000,6.830000,7.170000,5.337301,81325800
2011-04-23,7.120000,7.450000,7.110000,7.340000,5.463847,50976100
2011-04-30,7.370000,7.410000,7.050000,7.090000,5.277748,65523300
2011-05-07,7.080000,7.240000,7.010000,7.050000,5.247974,57836800
2011-05-14,7.030000,7.260000,6.920000,6.950000,5.173534,74603000
2011-05-21,6.910000,7.050000,6.730000,6.980000,5.195865,54762600
2011-05-28,7.100000,7.120000,6.350000,6.360000,4.734342,69208300
2011-06-04,6.350000,6.350000,5.920000,6.140000,4.570575,122447300
2011-06-11,6.020000,6.440000,5.940000,6.270000,4.667347,146882200
2011-06-18,6.220000,6.460000,5.920000,5.940000,4.428771,94312600
2011-06-25,5.990000,6.390000,5.860000,6.300000,4.697182,82401800
2011-07-02,6.240000,6.270000,5.960000,6.150000,4.585344,66697000
2011-07-09,6.030000,6.110000,5.860000,5.990000,4.466050,73647900
2011-07-16,5.930000,6.290000,5.710000,6.200000,4.622623,78933900
2011-07-23,6.120000,6.530000,6.030000,6.090000,4.540609,92554300
2011-07-30,6.190000,6.240000,5.030000,5.100000,3.802480,223853900
2011-08-06,4.870000,5.050000,4.210000,4.300000,3.206012,139773000
2011-08-13,4.330000,4.680000,3.840000,3.860000,2.877956,111333600
2011-08-20,4.040000,4.500000,3.840000,4.120000,3.071808,118832000
2011-08-27,4.220000,4.640000,4.060000,4.130000,3.079263,79466300
2011-09-03,3.950000,4.410000,3.820000,3.970000,2.959970,104965500
2011-09-10,3.890000,4.100000,3.720000,4.000000,2.982337,164996800
2011-09-17,3.920000,3.950000,3.350000,3.430000,2.563929,131510700
2011-09-24,3.520000,3.760000,3.330000,3.330000,2.489178,120631700
2011-10-01,3.320000,3.700000,2.820000,3.400000,2.541504,181274100
2011-10-08,3.490000,3.940000,3.420000,3.700000,2.765754,138661900
2011-10-15,3.630000,3.950000,3.430000,3.780000,2.825554,120545700
2011-10-22,3.800000,4.310000,3.580000,4.270000,3.191829,171328800
2011-10-29,4.170000,4.190000,3.570000,4.020000,3.004954,147267300
2011-11-05,4.010000,4.460000,3.970000,4.170000,3.117080,180934600
2011-11-12,4.150000,4.200000,3.900000,4.100000,3.064754,146763000
2011-11-19,4.000000,4.070000,3.610000,3.690000,2.758278,64707100
2011-11-26,3.890000,4.390000,3.510000,4.220000,3.154455,139668400
2011-12-03,4.320000,4.420000,3.860000,4.120000,3.079705,120385300
2011-12-10,4.010000,4.190000,3.920000,3.990000,2.982529,84702800
2011-12-17,3.980000,4.450000,3.790000,4.400000,3.297188,67474500
2011-12-24,4.360000,4.400000,4.170000,4.300000,3.222250,33154200
2011-12-31,4.390000,4.600000,4.210000,4.410000,3.304681,81367200
2012-01-07,4.480000,4.870000,4.470000,4.790000,3.589437,131676300
2012-01-14,4.780000,4.990000,4.750000,4.910000,3.679361,73303200
2012-01-21,4.900000,5.460000,4.800000,5.310000,3.979105,140483000
2012-01-28,5.230000,5.680000,5.120000,5.640000,4.226393,91425300
2012-02-04,5.600000,5.730000,5.500000,5.670000,4.248873,77524300
2012-02-11,5.760000,6.050000,5.590000,6.000000,4.496162,104431400
2012-02-18,6.020000,6.080000,5.620000,5.800000,4.346291,73828100
2012-02-25,5.780000,6.000000,5.660000,5.960000,4.466187,91736600
2012-03-03,5.950000,5.970000,5.680000,5.800000,4.346291,90133500
2012-03-10,5.770000,6.690000,5.610000,6.410000,4.803401,330706600
2012-03-17,6.390000,6.630000,6.270000,6.430000,4.826738,208094000
2012-03-24,6.580000,6.690000,6.370000,6.590000,4.946846,104428000
2012-03-31,6.560000,6.650000,6.320000,6.430000,4.826738,100888900
2012-04-07,6.310000,6.330000,5.980000,6.110000,4.586528,110697200
2012-04-14,6.190000,6.400000,5.980000,6.070000,4.556501,100617600
2012-04-21,5.940000,6.920000,5.910000,6.880000,5.164535,153418600
2012-04-28,6.860000,6.980000,6.700000,6.700000,5.029418,120440300
2012-05-05,6.660000,6.840000,6.450000,6.660000,4.999389,115056200
2012-05-12,6.530000,6.610000,6.080000,6.130000,4.601541,115632000
2012-05-19,6.150000,6.450000,6.100000,6.320000,4.744166,96005400
2012-05-26,6.410000,6.450000,5.840000,5.880000,4.413876,74612400
2012-06-02,5.710000,6.220000,5.460000,6.150000,4.616554,128478300
2012-06-09,6.270000,6.450000,5.930000,6.450000,4.841753,88481100
2012-06-16,6.490000,6.800000,6.400000,6.670000,5.014999,94681200
2012-06-23,6.550000,6.750000,6.250000,6.750000,5.075148,121795400
2012-06-30,6.820000,6.920000,6.600000,6.680000,5.022517,48573800
2012-07-07,6.670000,6.710000,6.350000,6.700000,5.037555,83099900
2012-07-14,6.660000,6.860000,6.380000,6.410000,4.819511,84023800
2012-07-21,6.280000,7.170000,6.220000,7.100000,5.338304,177930900
2012-07-28,7.080000,7.140000,6.680000,6.930000,5.210485,91473500
2012-08-04,7.040000,7.090000,6.870000,7.000000,5.263116,68709100
2012-08-11,6.960000,7.170000,6.860000,7.160000,5.383417,67763100
2012-08-18,7.140000,7.200000,6.960000,7.180000,5.398455,50724700
2012-08-25,7.210000,7.240000,6.950000,6.960000,5.233041,47697600
2012-09-01,6.970000,7.400000,6.900000,7.370000,5.541310,51739200
2012-09-08,7.500000,7.730000,7.230000,7.620000,5.729280,117486300
2012-09-15,7.600000,7.730000,7.250000,7.520000,5.661816,121660800
2012-09-22,7.450000,7.530000,7.080000,7.200000,5.420887,71892500
2012-09-29,7.250000,7.720000,7.100000,7.570000,5.699461,103711800
2012-10-06,7.510000,7.690000,7.250000,7.280000,5.481120,71447900
2012-10-13,7.330000,7.450000,7.010000,7.130000,5.368184,115369600
2012-10-20,7.080000,7.210000,6.380000,6.580000,4.954089,192001200
2012-10-27,6.640000,6.780000,6.360000,6.660000,5.014320,73832000
2012-11-03,6.590000,6.820000,6.350000,6.450000,4.856212,105803900
2012-11-10,6.490000,6.610000,6.190000,6.320000,4.758335,109572600
2012-11-17,6.430000,6.690000,6.400000,6.690000,5.036909,44852800
2012-11-24,6.680000,6.730000,6.490000,6.670000,5.021850,68119400
2012-12-01,6.690000,6.730000,6.400000,6.640000,4.999262,75769400
2012-12-08,6.620000,6.900000,6.580000,6.700000,5.044437,58671700
2012-12-15,6.760000,7.190000,6.720000,7.110000,5.361057,105891400
2012-12-22,7.030000,7.090000,6.900000,6.930000,5.225334,34308800
2012-12-29,6.890000,7.590000,6.880000,7.590000,5.722984,76123500
2013-01-05,7.590000,7.590000,7.150000,7.240000,5.459079,79692700
2013-01-12,7.240000,7.570000,7.130000,7.430000,5.602343,93463000
2013-01-19,7.470000,7.850000,7.450000,7.690000,5.798386,85158700
