Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,43.570000,45.000000,43.180000,44.279999,41.832710,6050100
2011-01-08,43.849998,46.580002,43.619999,45.970001,43.429306,4309300
2011-01-15,45.939999,46.310001,42.029999,42.330002,39.990482,8182200
2011-01-22,42.480000,43.689999,41.770000,42.090000,39.763748,5150200
2011-01-29,42.169998,43.360001,41.570000,42.619999,40.264446,3662300
2011-02-05,42.830002,44.500000,41.430000,42.790001,40.425049,5659000
2011-02-12,42.830002,44.660000,42.590000,42.919998,40.547867,4162700
2011-02-19,42.509998,45.250000,41.700001,45.220001,42.720757,5402800
2011-02-26,45.250000,48.669998,45.250000,47.660000,45.077435,8811800
2011-03-05,47.790001,48.500000,46.189999,47.070000,44.519405,4181700
2011-03-12,46.799999,48.869999,45.540001,46.880001,44.339695,4563900
2011-03-19,47.290001,47.810001,45.810001,46.910000,44.368069,3074100
2011-03-26,46.830002,50.320000,46.459999,49.799999,47.101475,4117700
2011-04-02,49.910000,51.180000,48.340000,48.759998,46.117832,4765200
2011-04-09,48.720001,48.950001,45.369999,46.470001,43.951923,10990200
2011-04-16,45.619999,49.970001,44.680000,47.740002,45.153099,4950800
2011-04-23,47.750000,56.310001,47.349998,54.779999,51.811623,8637400
2011-04-30,54.869999,54.950001,52.599998,54.389999,51.442757,6457900
2011-05-07,54.450001,56.459999,53.869999,53.990002,51.064438,4852200
2011-05-14,53.950001,54.500000,52.880001,53.500000,50.600983,3874300
2011-05-21,52.860001,55.299999,52.570000,54.980000,52.000790,3322800
2011-05-28,55.259998,55.700001,52.930000,53.040001,50.212273,4433300
2011-06-04,53.020000,53.090000,50.810001,52.040001,49.265594,4722800
2011-06-11,52.970001,53.330002,50.939999,51.939999,49.170914,3684200
2011-06-18,51.910000,53.980000,50.759998,51.130001,48.404110,4590400
2011-06-25,51.230000,53.750000,49.869999,53.490002,50.638283,6037500
2011-07-02,53.430000,55.419998,52.610001,54.009998,51.130573,3322400
2011-07-09,53.570000,54.439999,51.369999,52.480000,49.682125,5765700
2011-07-16,52.189999,53.610001,51.020000,53.560001,50.704540,5650200
2011-07-23,51.669998,53.180000,48.669998,49.639999,46.993546,11237100
2011-07-30,49.580002,49.590000,40.619999,41.860001,39.628311,15185800
2011-08-06,40.639999,41.049999,35.700001,38.110001,36.078239,14502200
2011-08-13,38.570000,40.139999,35.959999,36.110001,34.184860,6579200
2011-08-20,36.869999,38.750000,35.060001,37.900002,35.879417,5618400
2011-08-27,38.500000,42.270000,38.400002,38.720001,36.655716,5622800
2011-09-03,37.590000,41.110001,37.430000,37.840000,35.867805,5443700
2011-09-10,37.169998,38.840000,35.860001,38.830002,36.806221,8914700
2011-09-17,37.930000,37.930000,33.490002,35.380001,33.536026,6207300
2011-09-24,35.590000,36.919998,33.849998,34.000000,32.227951,5087000
2011-10-01,33.730000,34.119999,31.350000,33.490002,31.744534,9028000
2011-10-08,34.230000,38.750000,33.910000,38.720001,36.701939,7277400
2011-10-15,38.380001,38.689999,36.330002,38.090000,36.104778,5398000
2011-10-22,38.330002,42.049999,36.790001,41.040001,38.901035,7544300
2011-10-29,40.689999,41.730000,38.549999,41.340000,39.185394,7413500
2011-11-05,41.160000,43.099998,40.759998,42.730000,40.502945,3795900
2011-11-12,42.549999,42.939999,39.169998,40.020000,37.934189,4100400
2011-11-19,39.750000,39.750000,37.070000,37.220001,35.280125,3240400
2011-11-26,38.360001,41.360001,37.910000,38.880001,36.853611,5436300
2011-12-03,40.189999,41.099998,37.400002,37.439999,35.534683,4269600
2011-12-10,37.189999,38.360001,35.709999,36.950001,35.069618,5760800
2011-12-17,37.209999,38.869999,36.009998,38.790001,36.815979,1971000
2011-12-24,38.669998,39.119999,37.619999,38.860001,36.882427,1698300
2011-12-31,39.279999,39.529999,36.580002,39.200001,37.205112,4292900
2012-01-07,39.310001,39.490002,36.430000,36.930000,35.050636,6427300
2012-01-14,37.230000,37.889999,36.369999,37.259998,35.363850,2284700
2012-01-21,37.320000,42.139999,37.310001,41.820000,39.691788,5547400
2012-01-28,41.599998,42.450001,40.930000,42.369999,40.213783,4330900
2012-02-04,42.849998,43.070000,40.650002,42.400002,40.242279,3659200
2012-02-11,43.000000,43.380001,40.860001,41.150002,39.055893,4895300
2012-02-18,41.400002,44.619999,41.049999,43.910000,41.675411,3148000
2012-02-25,43.480000,45.310001,42.869999,43.869999,41.637459,4528300
2012-03-03,43.799999,44.230000,42.209999,43.599998,41.428322,3545000
2012-03-10,43.509998,44.630001,42.790001,44.529999,42.311993,4006000
2012-03-17,44.430000,44.730000,41.910000,42.380001,40.269085,3597500
2012-03-24,42.810001,43.650002,40.709999,41.910000,39.822487,4490000
2012-03-31,41.950001,43.220001,41.799999,42.680000,40.554127,3102700
2012-04-07,42.119999,43.610001,40.799999,42.230000,40.126549,4364400
2012-04-14,42.520000,44.040001,41.540001,42.799999,40.668159,2878300
2012-04-21,42.410000,44.570000,41.680000,43.720001,41.542324,4415100
2012-04-28,43.580002,43.810001,40.369999,40.980000,38.938808,4365700
2012-05-05,40.849998,41.189999,39.900002,40.029999,38.036121,2957100
2012-05-12,39.709999,39.830002,37.540001,37.810001,35.926712,4049700
2012-05-19,37.820000,39.680000,37.340000,39.070000,37.123955,3976000
2012-05-26,39.410000,39.830002,36.900002,37.299999,35.442123,3365400
2012-06-02,37.700001,39.959999,37.700001,39.520000,37.598976,3517400
2012-06-09,40.220001,40.709999,38.959999,39.419998,37.503838,3657800
2012-06-16,39.259998,41.150002,39.139999,39.759998,37.827332,6247400
2012-06-23,39.340000,43.799999,38.330002,43.160000,41.062046,10235100
2012-06-30,43.150002,43.180000,42.040001,42.290001,40.234333,2525100
2012-07-07,42.330002,42.869999,40.880001,41.630001,39.606426,4535700
2012-07-14,41.599998,41.599998,39.730000,40.000000,38.055645,5051400
2012-07-21,39.380001,40.290001,37.400002,40.110001,38.160305,6373700
2012-07-28,39.919998,40.270000,38.250000,39.349998,37.437241,3760100
2012-08-04,39.230000,40.430000,38.250000,39.750000,37.817799,4711400
2012-08-11,39.730000,40.520000,39.480000,40.090000,38.141273,3156200
2012-08-18,39.820000,40.720001,39.299999,39.599998,37.675098,3933900
2012-08-25,39.750000,40.360001,39.380001,39.950001,38.008083,2800400
2012-09-01,40.009998,41.490002,39.840000,41.000000,39.055870,3129300
2012-09-08,41.000000,43.980000,40.310001,43.650002,41.580212,4427300
2012-09-15,43.630001,45.770000,43.470001,45.279999,43.132915,7070400
2012-09-22,44.939999,46.029999,44.150002,45.730000,43.561592,3637500
2012-09-29,45.889999,46.660000,44.430000,46.060001,43.875938,4987000
2012-10-06,45.939999,46.490002,44.560001,45.330002,43.180565,4375200
2012-10-13,45.330002,45.660000,43.570000,43.889999,41.808838,3969000
2012-10-20,43.830002,44.270000,42.290001,42.779999,40.751476,4022900
2012-10-27,42.369999,43.930000,40.459999,42.750000,40.722900,6409100
2012-11-03,42.900002,46.930000,42.450001,43.270000,41.218235,7247000
2012-11-10,43.580002,43.630001,40.759998,41.619999,39.646469,3706400
2012-11-17,42.029999,44.000000,41.660000,43.980000,41.894585,2159900
2012-11-24,43.470001,45.090000,42.970001,45.070000,42.932884,3723800
2012-12-01,45.220001,46.880001,44.599998,45.619999,43.506794,4271600
2012-12-08,45.540001,46.599998,45.529999,45.540001,43.430508,2584500
2012-12-15,45.820000,49.750000,45.750000,48.490002,46.648434,6344700
2012-12-22,48.619999,48.720001,47.349998,47.380001,45.580585,2147700
2012-12-29,47.400002,50.389999,47.209999,50.000000,48.101082,2724300
2013-01-05,50.740002,51.500000,50.150002,50.910000,48.976536,5095700
2013-01-12,50.570000,55.500000,50.570000,55.459999,53.353745,6131400
2013-01-19,55.570000,57.349998,54.849998,57.340000,55.162334,6490600
2013-01-26,57.220001,57.389999,55.639999,56.619999,54.469681,4540700
2013-02-02,56.500000,58.570000,55.799999,58.110001,55.903099,3587300
2013-02-09,57.299999,58.480000,56.209999,57.419998,55.239307,3778500
2013-02-16,57.299999,58.349998,56.240002,57.990002,55.787663,2961800
2013-02-23,58.130001,58.790001,55.299999,58.180000,55.970436,5159300
2013-03-02,57.700001,60.180000,57.000000,60.020000,57.791531,4315700
2013-03-09,59.939999,62.040001,59.900002,62.000000,59.698036,3521500
2013-03-16,61.570000,63.099998,61.139999,62.630001,60.304626,2997100
2013-03-23,62.900002,65.000000,62.470001,63.869999,61.498581,3080600
2013-03-30,63.880001,66.449997,61.799999,62.439999,60.121677,4649600
